lytera,1,skin,1,brightening,1,complex,1
pureology,1,precious,1,oil,1
pureology,1,pure,1,volume,1,blow,1,dry,1,amplifier,1
pureology,1,reviving,1,red,1
bb,1,repair,1,blow,1,dry,1
kerastase,1,elixir,1,ultime,1,mask,1
marc,1,jacobs,1,customer,1,service,1
marc,1,jacobs,1,customer,1,service,1
vanilla,1,bean,1,lotion,1
philosophy,1,sweet,1,cream,1
living,1,grace,1
philosophy,1,no,1,reason,1,to,1,hide,1
philosophy,1,endless,1,summer,1
philosophy,1,night,1,cream,1
philosophy,1,when,1,hope,1,is,1,not,1,enough,1
stila,1,in,1,the,1,light,1,palette,1
as,1,i,1,am,1,hair,1,products,1,samples,1
as,1,i,1,am,1,born,1,curly,1
as,1,i,1,am,1,moisturizer,1
dr,1,ali,1,n,1,syed,1
asiam,1,coconut,1,cowash,1
as,1,i,1,am,1,cleansing,1,pudding,1
asiam,1,coconut,1,cowash,1
asiam,1,coconut,1,cowash,1
as,1,i,1,am,1,curling,1,cream,1
detangling,1,conditioner,1
grohair,1
as,1,i,1,am,1,growash,1
as,1,i,1,am,1,groyogurt,1
henna,1,happiness,1
as,1,i,1,am,1,restore,1,and,1,repair,1
as,1,i,1,am,1,curling,1,cream,1
as,1,i,1,am,1,restore,1,and,1,repair,1
jbco,1,shampoo,1
as,1,i,1,am,1,jbco,1
oil,1,sheen,1
as,1,i,1,am,1,tea,1,tree,1
tea,1,tree,1,oil,1,leave,1,in,1,conditioner,1
virgin,1,black,1,seed,1,oil,1
as,1,i,1,am,1,jamaican,1,black,1,castor,1,oil,1
atelier,1,cologne,1,oolang,1,infini,1
dr,1,ali,1,n,1,syed,1
progrowth,1
affirm,1,shampoo,1
affirm,1,5,1,in,1,1,1,reconstructor,1
affirm,1,shampoo,1
positive,1,link,1
affirm,1,fiberguard,1,relaxer,1
affirm,1,fiberguard,1,relaxer,1
avlon,1,keracare,1
keracare,1,butter,1,cream,1
keracare,1,essential,1,oils,1
keracare,1,twist,1,and,1,define,1,cream,1
